category,sub_category,total_sales,total_profit,profit_margin,avg_inventory_days
Furniture,Tables,206965.532,-17725.4811,-0.0856,70
Furniture,Bookcases,114879.9963,-3472.556,-0.0302,60
Office Supplies,Supplies,46673.538,-1189.0995,-0.0255,40
Technology,Machines,189238.631,3384.7569,0.0179,50
Furniture,Chairs,328449.103,26590.1663,0.081,65
Office Supplies,Storage,223843.608,21278.8264,0.0951,40
Technology,Phones,330007.054,44515.7306,0.1349,25
Furniture,Furnishings,91705.164,13059.1436,0.1424,55
Office Supplies,Binders,203412.733,30221.7633,0.1486,35
Office Supplies,Appliances,107532.161,18138.0054,0.1687,45
Office Supplies,Art,27118.792,6527.787,0.2407,30
Technology,Accessories,167380.318,41936.6357,0.2505,20
Office Supplies,Fasteners,3024.28,949.5182,0.314,30
Technology,Copiers,149528.03,55617.8249,0.372,30
Office Supplies,Envelopes,16476.402,6964.1767,0.4227,28
Office Supplies,Paper,78479.206,34053.5693,0.4339,25
Office Supplies,Labels,12486.312,5546.254,0.4442,25
