category_name,avg_views,avg_likes,avg_dislikes,avg_comments
Music,6201003.0,218918.0,7908.0,19360.0
Film & Animation,3106250.0,70788.0,2591.0,7628.0
Nonprofits & Activism,2963884.0,259924.0,58077.0,84365.0
Gaming,2620831.0,84502.0,11242.0,18042.0
Entertainment,2067883.0,53243.0,4314.0,7383.0
Sports,2025969.0,45364.0,2361.0,5148.0
People & Blogs,1531835.0,58136.0,3174.0,7719.0
Comedy,1480308.0,62582.0,2092.0,6522.0
Science & Technology,1452627.0,34374.0,1894.0,4994.0
Autos & Vehicles,1355965.0,11056.0,633.0,2043.0
Howto & Style,983730.0,39286.0,1320.0,5584.0
,903527.0,18994.0,430.0,1669.0
Travel & Events,854620.0,12030.0,847.0,2267.0
Pets & Animals,831143.0,21055.0,573.0,2892.0
Education,712941.0,29745.0,816.0,3286.0
News & Politics,592588.0,7298.0,1681.0,2428.0
